,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
131,2011 Chevrolet Optra Magnum 2.0 LT BS3,noida,89000 km•  Diesel•   Paschim Vihar,1.65,sedan,manual,dealer,first-owner,black,['2011'],['Chevrolet'],['Diesel'],['89000']
132,2013 Hyundai Verna 1.6 SX,noida,75000 km•  Diesel•   Karol Bagh,4.41,sedan,manual,dealer,first-owner,black,['2013'],['Hyundai'],['Diesel'],['75000']
133,2015 Maruti Swift Dzire Vdi BSIV,noida,72000 km•  Diesel•   Lajpat Nagar,4.75,sedan,manual,dealer,first-owner,black,['2015'],['Maruti'],['Diesel'],['72000']
134,2009 Toyota Corolla Altis 1.8 G,noida,75000 km•  Petrol•   Ramesh Nagar,2.85,sedan,manual,dealer,first-owner,black,['2009'],['Toyota'],['Petrol'],['75000']
135,2017 Hyundai Verna CRDi 1.6 SX,noida,24000 km•  Diesel•   Moti Nagar,8.9,sedan,manual,dealer,first-owner,black,['2017'],['Hyundai'],['Diesel'],['24000']
136,2018 Hyundai Verna 1.6 SX VTVT (O),noida,2800 km•  Petrol•   Nangloi - III,9.2,sedan,manual,dealer,first-owner,black,['2018'],['Hyundai'],['Petrol'],['2800']
137,2011 Volkswagen Vento Petrol Comfortline,noida,70000 km•  Petrol•   Lajpat Nagar,2.65,sedan,manual,dealer,first-owner,black,['2011'],['Volkswagen'],['Petrol'],['70000']
138,2012 Hyundai Verna SX,noida,45000 km•  Petrol•   Preet Vihar,4.4,sedan,manual,dealer,first-owner,black,['2012'],['Hyundai'],['Petrol'],['45000']
139,2011 Skoda Rapid 1.6 MPI Active,noida,71000 km•  Petrol•   Vasant Kunj,2.6,sedan,manual,dealer,first-owner,black,['2011'],['Skoda'],['Petrol'],['71000']
140,2012 Nissan Sunny Diesel XL,noida,60000 km•  Diesel•   Vikas Puri,2.4,sedan,manual,dealer,first-owner,black,['2012'],['Nissan'],['Diesel'],['60000']
