,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
128,2011 Toyota Etios G,delhi-ncr,85000 km•  Petrol•   Sector 45,2.65,sedan,manual,dealer,second-owner,silver,['2011'],['Toyota'],['Petrol'],"['85000', '45']"
129,2014 Hyundai Verna SX Diesel,delhi-ncr,65000 km•  Diesel•   Subhash Nagar,4.95,sedan,manual,dealer,second-owner,silver,['2014'],['Hyundai'],['Diesel'],['65000']
130,2014 Honda Amaze S i-DTEC,delhi-ncr,65232 km•  Diesel•   Pitampura,3.65,sedan,manual,dealer,second-owner,silver,['2014'],['Honda'],['Diesel'],['65232']
131,2011 Hyundai Accent Executive CNG,delhi-ncr,75000 km•  CNG•   Sector 19,1.9,sedan,manual,dealer,second-owner,silver,['2011'],['Hyundai'],['CNG'],"['75000', '19']"
132,2013 Maruti Swift Dzire Ldi BSIV,delhi-ncr,87000 km•  Diesel•   Paschim Vihar,2.75,sedan,manual,dealer,second-owner,silver,['2013'],['Maruti'],['Diesel'],['87000']
133,2013 Toyota Etios GD,delhi-ncr,72000 km•  Diesel•   Karam Pura,3.5,sedan,manual,dealer,second-owner,silver,['2013'],['Toyota'],['Diesel'],['72000']
134,2011 Honda Civic 1.8 V MT,delhi-ncr,60630 km•  Petrol•   Sector 11,3.25,sedan,manual,dealer,second-owner,silver,['2011'],['Honda'],['Petrol'],"['60630', '11']"
135,2009 Honda City 1.5 S MT,delhi-ncr,59000 km•  Petrol•   Ramesh Nagar,2.75,sedan,manual,dealer,second-owner,silver,['2009'],['Honda'],['Petrol'],['59000']
136,2013 Maruti Swift Dzire VDI,delhi-ncr,90001 km•  Diesel•   Rajender Nagar,3.45,sedan,manual,dealer,second-owner,silver,['2013'],['Maruti'],['Diesel'],['90001']
137,2008 Honda Civic 1.8 (E) MT,delhi-ncr,78000 km•  Petrol•   Rohini Sector 5,2.45,sedan,manual,dealer,second-owner,silver,['2008'],['Honda'],['Petrol'],"['78000', '5']"
138,2009 Maruti Swift Dzire VXi,delhi-ncr,87000 km•  Petrol•   Ghitorni,1.99,sedan,manual,dealer,second-owner,silver,['2009'],['Maruti'],['Petrol'],['87000']
139,2009 Maruti Swift Dzire 1.2 Vxi BSIV,delhi-ncr,84122 km•  Petrol•   Sector 6,1.95,sedan,manual,dealer,second-owner,silver,['2009'],['Maruti'],['Petrol'],"['84122', '6']"
140,2009 Maruti SX4 ZXI MT BSIV,delhi-ncr,90000 km•  Petrol•   Gurgaon,1.85,sedan,manual,dealer,second-owner,silver,['2009'],['Maruti'],['Petrol'],['90000']
141,2013 Maruti Swift Dzire LDI,delhi-ncr,90000 km•  Diesel•   Vikas Puri,3.45,sedan,manual,dealer,second-owner,silver,['2013'],['Maruti'],['Diesel'],['90000']
142,2010 Maruti Swift Dzire LXI,delhi-ncr,52000 km•  Petrol•   Gurgaon,2.4,sedan,manual,dealer,second-owner,silver,['2010'],['Maruti'],['Petrol'],['52000']
143,2012 Maruti SX4 Green Vxi (CNG),delhi-ncr,52000 km•  CNG•   Preet Vihar,2.75,sedan,manual,dealer,second-owner,silver,['2012'],['Maruti'],['CNG'],['52000']
144,2013 Honda Amaze EX i-Dtech,delhi-ncr,67983 km•  Diesel•   Jangpura,3.33,sedan,manual,dealer,second-owner,silver,['2013'],['Honda'],['Diesel'],['67983']
145,2006 Mercedes-Benz New C-Class 200 Kompressor,delhi-ncr,89000 km•  Petrol•   Jangpura,4,sedan,manual,dealer,second-owner,silver,['2006'],['Mercedes-Benz'],['Petrol'],['89000']
146,2016 Honda City i DTec VX,delhi-ncr,50000 km•  Diesel,7.75,sedan,manual,individual,second-owner,silver,['2016'],['Honda'],['Diesel'],['50000']
